pos,genus,nominativ singular,nominativ plural
Substantiv,m,Aachener,Aachener
Substantiv,f,Aachenerin,Aachenerinnen
Substantiv,f,Aad,Aaden
Substantiv,n,Aak,Aake
Substantiv,f,Aake,Aaken
Substantiv,f,Aakerbeere,Aakerbeeren
Substantiv,m,Aal,Aale
Substantiv,m,Aalbaum,Aalbäume
Substantiv,f,Aalbeere,Aalbeeren
Substantiv,m,Aalbeerstrauch,Aalbeersträucher
Substantiv,m,Aalbestand,Aalbestände
Substantiv,f,Aalbricke,Aalbricken
Substantiv,m,Aalbutt,Aalbutte
Substantiv,m,Aaldorsch,Aaldorsche
Substantiv,f,Aaleidechse,Aaleidechsen
Substantiv,n,Aaleisen,Aaleisen
Substantiv,m,Aalener,Aalener
Substantiv,f,Aalenerin,Aalenerinnen
Substantiv,m,Aalfang,Aalfänge
Substantiv,n,Aalfett,Aalfette
Substantiv,m,Aalfisch,Aalfische
Substantiv,m,Aalfischer,Aalfischer
Substantiv,f,Aalfischerei,Aalfischereien
Substantiv,f,Aalfrau,Aalfrauen
Substantiv,f,Aalgabel,Aalgabeln
Substantiv,m,Aalhamen,Aalhamen
Substantiv,f,Aalhaut,Aalhäute
Substantiv,m,Aalkorb,Aalkörbe
Substantiv,f,Aalkrähe,Aalkrähen
Substantiv,f,Aalleiter,Aalleitern
Substantiv,m,Aalmolch,Aalmolche
Substantiv,f,Aalmutter,Aalmuttern
Substantiv,f,Aalmöwe,Aalmöwen
Substantiv,n,Aalnetz,Aalnetze
Substantiv,f,Aalpuppe,Aalpuppen
Substantiv,f,Aalquappe,Aalquappen
Substantiv,f,Aalraupe,Aalraupen
Substantiv,f,Aalreuse,Aalreusen
Substantiv,f,Aalrute,Aalruten
Substantiv,f,Aalrutte,Aalrutten
Substantiv,f,Aalräucherei,Aalräuchereien
Substantiv,f,Aalschlange,Aalschlangen
Substantiv,f,Aalschnur,Aalschnüre
Substantiv,m,Aalspeer,Aalspeere
Substantiv,n,Aalstechen,Aalstechen
Substantiv,m,Aalstreif,Aalstreife
Substantiv,m,Aalstreifen,Aalstreifen
Substantiv,m,Aalstrich,Aalstriche
Substantiv,f,Aalsuppe,Aalsuppen
Substantiv,n,Aaltierchen,Aaltierchen
Substantiv,f,Aaltreppe,Aaltreppen
Substantiv,f,Aalwanderung,Aalwanderungen
Substantiv,n,Aalwehr,Aalwehre
Substantiv,m,Aalwels,Aalwelse
Substantiv,m,Aap,Aapen
Substantiv,f,Aarestadt,Aarestädte
Substantiv,m,Aargauer,Aargauer
Substantiv,f,Aargauerin,Aargauerinnen
Substantiv,f,Aasbande,Aasbanden
Substantiv,f,Aasblatter,Aasblattern
Substantiv,f,Aasblume,Aasblumen
Substantiv,m,Aaser,Aaser
Substantiv,f,Aasfliege,Aasfliegen
Substantiv,m,Aasfresser,Aasfresser
Substantiv,m,Aasgeier,Aasgeier
Substantiv,n,Aasgeld,Aasgelder
Substantiv,m,Aasgeruch,Aasgerüche
Substantiv,n,Aasinsekt,Aasinsekten
Substantiv,f,Aasjagd,Aasjagden
Substantiv,m,Aasjäger,Aasjäger
Substantiv,f,Aaskrähe,Aaskrähen
Substantiv,m,Aaskäfer,Aaskäfer
Substantiv,f,Aaspocke,Aaspocken
Substantiv,f,Aasseite,Aasseiten
Substantiv,n,Aast,Äster
Substantiv,m,Aasvogel,Aasvögel
Substantiv,m,Aasvogel,Aasvögel
Substantiv,m,Abade,Abades
Substantiv,f,Abaisse,Abaissen
Substantiv,f,Abalienation,Abalienationen
Substantiv,f,Abalone,Abalonen
Substantiv,m,Abandon,Abandons
Substantiv,n,Abandonnement,Abandonnements
Substantiv,f,Abarbeitung,Abarbeitungen
Substantiv,f,Abarbeitungsgeschwindigkeit,Abarbeitungsgeschwindigkeiten
Substantiv,f,Abart,Abarten
Substantiv,f,Abartigkeit,Abartigkeiten
Substantiv,f,Abartung,Abartungen
Substantiv,f,Abasie,Abasien
Substantiv,f,Abate,Abaten
Substantiv,m,Abatjour,Abatjours
Substantiv,n,Abaton,Abata
Substantiv,f,Abbaggerung,Abbaggerungen
Substantiv,m,Abbaside,Abbasiden
Substantiv,m,Abbau,Abbaue
Substantiv,m,Abbauantrag,Abbauanträge
Substantiv,f,Abbauerscheinung,Abbauerscheinungen
Substantiv,n,Abbaufeld,Abbaufelder
Substantiv,f,Abbaugerechtigkeit,Abbaugerechtigkeiten
Substantiv,n,Abbaugerät,Abbaugeräte
Substantiv,f,Abbauintoxikation,Abbauintoxikationen
Substantiv,n,Abbauprodukt,Abbauprodukte
Substantiv,m,Abbauprozess,Abbauprozesse
Substantiv,n,Abbaurecht,Abbaurechte
Substantiv,f,Abbaustelle,Abbaustellen
Substantiv,f,Abbedingung,Abbedingungen
Substantiv,n,Abbeizmittel,Abbeizmittel
Substantiv,,dä Abbelkrotze,Abbelkrotze
Substantiv,f,Abberstung,Abberstungen
Substantiv,f,Abberufung,Abberufungen
Substantiv,m,Abberufungsantrag,Abberufungsanträge
Substantiv,f,Abbestellung,Abbestellungen
Substantiv,f,Abbezahlung,Abbezahlungen
Substantiv,n,Abbiegelicht,Abbiegelichter
Substantiv,f,Abbiegespur,Abbiegespuren
Substantiv,f,Abbiegung,Abbiegungen
Substantiv,n,Abbild,Abbilder
Substantiv,f,Abbildung,Abbildungen
Substantiv,m,Abbildungsfehler,Abbildungsfehler
Substantiv,m,Abbildungsmaßstab,Abbildungsmaßstäbe
Substantiv,f,Abbindung,Abbindungen
Substantiv,m,Abbiss,Abbisse
Substantiv,f,Abbitte,Abbitten
Substantiv,m,Abblasedruck,Abblasedrücke
Substantiv,n,Abblaseventil,Abblaseventile
Substantiv,f,Abblasung,Abblasungen
Substantiv,n,Abblasventil,Abblasventile
Substantiv,n,Abblendlicht,Abblendlichter
Substantiv,m,Abblendschalter,Abblendschalter
Substantiv,m,Abbozzo,Abbozzi
Substantiv,m,Abbrand,Abbrände
Substantiv,m,Abbrandler,Abbrandler
Substantiv,m,Abbrecher,Abbrecher
Substantiv,f,Abbrecherin,Abbrecherinnen
Substantiv,f,Abbreviation,Abbreviationen
Substantiv,m,Abbreviator,Abbreviatoren
Substantiv,f,Abbreviatur,Abbreviaturen
Substantiv,m,Abbruch,Abbrüche
Substantiv,f,Abbrucharbeit,Abbrucharbeiten
Substantiv,f,Abbruchbedingung,Abbruchbedingungen
Substantiv,m,Abbruchbescheid,Abbruchbescheide
Substantiv,f,Abbruchbirne,Abbruchbirnen
Substantiv,f,Abbruchblutung,Abbruchblutungen
Substantiv,f,Abbruchfirma,Abbruchfirmen
Substantiv,f,Abbruchgenehmigung,Abbruchgenehmigungen
Substantiv,m,Abbruchhammer,Abbruchhämmer
Substantiv,n,Abbruchhaus,Abbruchhäuser
Substantiv,n,Abbruchholz,Abbruchhölzer
Substantiv,f,Abbruchkante,Abbruchkanten
Substantiv,n,Abbruchmaterial,Abbruchmaterialien
Substantiv,n,Abbruchobjekt,Abbruchobjekte
Substantiv,f,Abbruchreaktion,Abbruchreaktionen
Substantiv,f,Abbruchsgenehmigung,Abbruchsgenehmigungen
Substantiv,m,Abbruchsieg,Abbruchsiege
Substantiv,m,Abbruchstein,Abbruchsteine
Substantiv,f,Abbruchstelle,Abbruchstellen
Substantiv,f,Abbuchung,Abbuchungen
Substantiv,m,Abbuchungsauftrag,Abbuchungsaufträge
Substantiv,m,Abbé,Abbés
Substantiv,f,Abbüßung,Abbüßungen
Substantiv,n,Abc,Abc
Substantiv,m,Abcdarier,Abcdarier
Substantiv,n,Abcdarium,Abcdarien
Substantiv,m,Abcdarius,Abcdarii
Substantiv,m,Abchase,Abchasen
Substantiv,f,Abchasin,Abchasinnen
Substantiv,n,Abdach,Abdächer
Substantiv,m,Abdampf,Abdämpfe
Substantiv,f,Abdankung,Abdankungen
Substantiv,m,Abdasseler,Abdasseler
Substantiv,f,Abdasselung,Abdasselungen
Substantiv,m,Abdassler,Abdassler
Substantiv,f,Abdasslung,Abdasslungen
Substantiv,n,Abdeckband,Abdeckbänder
Substantiv,n,Abdeckblech,Abdeckbleche
Substantiv,m,Abdecker,Abdecker
Substantiv,f,Abdeckerei,Abdeckereien
Substantiv,f,Abdeckerin,Abdeckerinnen
Substantiv,f,Abdeckfarbe,Abdeckfarben
Substantiv,n,Abdeckmaterial,Abdeckmaterialien
Substantiv,f,Abdeckplane,Abdeckplanen
Substantiv,f,Abdeckplatte,Abdeckplatten
Substantiv,m,Abdecktest,Abdecktests
Substantiv,f,Abdeckung,Abdeckungen
Substantiv,m,Abderit,Abderiten
Substantiv,f,Abdestillation,Abdestillationen
Substantiv,f,Abdichtung,Abdichtungen
Substantiv,f,Abdikation,Abdikationen
Substantiv,f,Abdisposition,Abdispositionen
Substantiv,n,Abditorium,Abditorien
Substantiv,f,Abdominalgravidität,Abdominalgraviditäten
Substantiv,f,Abdominalhernie,Abdominalhernien
Substantiv,f,Abdominoskopie,Abdominoskopien
Substantiv,f,Abdrift,Abdriften
Substantiv,f,Abdrosselung,Abdrosselungen
Substantiv,f,Abdrosslung,Abdrosslungen
Substantiv,f,Abduktion,Abduktionen
Substantiv,m,Abduktor,Abduktoren
Substantiv,f,Abduzenslähmung,Abduzenslähmungen
Substantiv,n,Abecebuch,Abecebücher
Substantiv,m,Abecedarier,Abecedarier
Substantiv,n,Abecedarium,Abecedarien
Substantiv,m,Abecedarius,Abecedarii
Substantiv,f,Abelie,Abelien
Substantiv,m,Abelmoschus,Abelmoschusse
Substantiv,m,Abenaki,Abenakis
Substantiv,m,Abend,Abende
Substantiv,f,Abendakademie,Abendakademien
Substantiv,f,Abendandacht,Abendandachten
Substantiv,f,Abendanfrage,Abendanfragen
Substantiv,m,Abendanzug,Abendanzüge
Substantiv,f,Abendausgabe,Abendausgaben
Substantiv,n,Abendblatt,Abendblätter
Substantiv,n,Abendbrot,Abendbrote
Substantiv,m,Abendbrottisch,Abendbrottische
Substantiv,f,Abendbrotzeit,Abendbrotzeiten
Substantiv,m,Abendbummel,Abendbummel
Substantiv,f,Abenddämmerung,Abenddämmerungen
Substantiv,m,Abendempfang,Abendempfänge
Substantiv,n,Abendessen,Abendessen
Substantiv,f,Abendessenszeit,Abendessenszeiten
Substantiv,f,Abendgarderobe,Abendgarderoben
Substantiv,n,Abendgebet,Abendgebete
Substantiv,f,Abendgesellschaft,Abendgesellschaften
Substantiv,m,Abendgottesdienst,Abendgottesdienste
Substantiv,n,Abendgymnasium,Abendgymnasien
Substantiv,m,Abendhimmel,Abendhimmel
Substantiv,m,Abendimbiss,Abendimbisse
Substantiv,f,Abendkasse,Abendkassen
Substantiv,n,Abendkleid,Abendkleider
Substantiv,m,Abendkurs,Abendkurse
Substantiv,n,Abendlied,Abendlieder
Substantiv,m,Abendländer,Abendländer
Substantiv,f,Abendländerin,Abendländerinnen
Substantiv,n,Abendmahl,Abendmahle
Substantiv,f,Abendmahlsfeier,Abendmahlsfeiern
Substantiv,f,Abendmahlsgemeinschaft,Abendmahlsgemeinschaften
Substantiv,n,Abendmahlsspiel,Abendmahlsspiele
Substantiv,m,Abendmahlswein,Abendmahlsweine
Substantiv,f,Abendmahlzeit,Abendmahlzeiten
Substantiv,f,Abendmesse,Abendmessen
Substantiv,f,Abendmusik,Abendmusiken
Substantiv,m,Abendnebel,Abendnebel
Substantiv,f,Abendpause,Abendpausen
Substantiv,f,Abendprobe,Abendproben
Substantiv,n,Abendprogramm,Abendprogramme
Substantiv,m,Abendpunkt,Abendpunkte
Substantiv,f,Abendrealschule,Abendrealschulen
Substantiv,f,Abendrobe,Abendroben
Substantiv,f,Abendschule,Abendschulen
Substantiv,m,Abendschüler,Abendschüler
Substantiv,f,Abendschülerin,Abendschülerinnen
Substantiv,f,Abendshow,Abendshows
Substantiv,m,Abendspaziergang,Abendspaziergänge
Substantiv,f,Abendstunde,Abendstunden
Substantiv,n,Abendstück,Abendstücke
Substantiv,f,Abendtafel,Abendtafeln
Substantiv,f,Abendtoilette,Abendtoiletten
Substantiv,f,Abendunterhaltung,Abendunterhaltungen
Substantiv,m,Abendunterricht,Abendunterrichte
Substantiv,f,Abendveranstaltung,Abendveranstaltungen
Substantiv,f,Abendvorstellung,Abendvorstellungen
Substantiv,f,Abendweite,Abendweiten
Substantiv,m,Abendwind,Abendwinde
Substantiv,f,Abendzeit,Abendzeiten
Substantiv,f,Abendzeitung,Abendzeitungen
Substantiv,m,Abendzug,Abendzüge
Substantiv,n,Abenteuer,Abenteuer
Substantiv,n,Abenteuerbuch,Abenteuerbücher
Substantiv,m,Abenteuerfilm,Abenteuerfilme
Substantiv,f,Abenteuergeschichte,Abenteuergeschichten
Substantiv,f,Abenteuerin,Abenteuerinnen
Substantiv,f,Abenteuerkomödie,Abenteuerkomödien
Substantiv,f,Abenteuerreise,Abenteuerreisen
Substantiv,m,Abenteuerroman,Abenteuerromane
Substantiv,n,Abenteuerspiel,Abenteuerspiele
Substantiv,m,Abenteuerspielplatz,Abenteuerspielplätze
Substantiv,m,Abenteuerurlaub,Abenteuerurlaube
Substantiv,m,Abenteurer,Abenteurer
Substantiv,f,Abenteurerin,Abenteurerinnen
Substantiv,n,Aberchen,Aberchen
Substantiv,n,Aberdeenrind,Aberdeenrinder
Substantiv,n,Aberdepot,Aberdepots
Substantiv,f,Aberkennung,Aberkennungen
Substantiv,f,Aberratio,Aberrationes
Substantiv,f,Aberratio testis,Aberrationes testis
Substantiv,f,Aberration,Aberrationen
Substantiv,f,Aberrationskonstante,Aberrationskonstanten
Substantiv,f,Aberrationszeit,Aberrationszeiten
Substantiv,f,Aberraute,Aberrauten
Substantiv,n,Aberrometer,Aberrometer
Substantiv,m,Abessinier,Abessinier
Substantiv,m,Abessinierbrunnen,Abessinierbrunnen
Substantiv,f,Abessinierin,Abessinierinnen
Substantiv,f,Abessinierkatze,Abessinierkatzen
Substantiv,m,Abessiv,Abessive
Substantiv,m,Abfahrer,Abfahrer
Substantiv,f,Abfahrerin,Abfahrerinnen
Substantiv,f,Abfahrt,Abfahrten
Substantiv,n,Abfahrtgleis,Abfahrtgleise
Substantiv,n,Abfahrtsdatum,Abfahrtsdaten
Substantiv,n,Abfahrtsgleis,Abfahrtsgleise
Substantiv,m,Abfahrtshang,Abfahrtshänge
Substantiv,m,Abfahrtslauf,Abfahrtsläufe
Substantiv,m,Abfahrtsläufer,Abfahrtsläufer
Substantiv,f,Abfahrtsläuferin,Abfahrtsläuferinnen
Substantiv,f,Abfahrtspiste,Abfahrtspisten
Substantiv,m,Abfahrtsplan,Abfahrtspläne
Substantiv,n,Abfahrtsrennen,Abfahrtsrennen
Substantiv,m,Abfahrtssieg,Abfahrtssiege
Substantiv,m,Abfahrtssieger,Abfahrtssieger
Substantiv,f,Abfahrtssiegerin,Abfahrtssiegerinnen
Substantiv,n,Abfahrtssignal,Abfahrtssignale
Substantiv,f,Abfahrtsstrecke,Abfahrtsstrecken
Substantiv,f,Abfahrtstafel,Abfahrtstafeln
Substantiv,m,Abfahrtsweltmeister,Abfahrtsweltmeister
Substantiv,f,Abfahrtsweltmeisterin,Abfahrtsweltmeisterinnen
Substantiv,f,Abfahrtszeit,Abfahrtszeiten
Substantiv,m,Abfall,Abfälle
Substantiv,f,Abfallart,Abfallarten
Substantiv,m,Abfallbehälter,Abfallbehälter
Substantiv,m,Abfalleimer,Abfalleimer
Substantiv,m,Abfallexport,Abfallexporte
Substantiv,m,Abfallgeruch,Abfallgerüche
Substantiv,m,Abfallhaufen,Abfallhaufen
Substantiv,m,Abfallkatalog,Abfallkataloge
Substantiv,m,Abfallkorb,Abfallkörbe
Substantiv,n,Abfalllager,Abfalllager
Substantiv,f,Abfallmenge,Abfallmengen
Substantiv,n,Abfallprodukt,Abfallprodukte
Substantiv,m,Abfallraum,Abfallräume
Substantiv,f,Abfallsortieranlage,Abfallsortieranlagen
Substantiv,f,Abfallsortierung,Abfallsortierungen
Substantiv,m,Abfalltransport,Abfalltransporte
Substantiv,f,Abfallverbrennung,Abfallverbrennungen
Substantiv,f,Abfallverbrennungsanlage,Abfallverbrennungsanlagen
Substantiv,f,Abfallverbringung,Abfallverbringungen
Substantiv,n,Abfallverzeichnis,Abfallverzeichnisse
Substantiv,f,Abfallwirtschaft,Abfallwirtschaften
Substantiv,m,Abfallwirtschaftsbetrieb,Abfallwirtschaftsbetriebe
Substantiv,m,Abfallwirtschaftshof,Abfallwirtschaftshöfe
Substantiv,f,Abfangbahn,Abfangbahnen
Substantiv,m,Abfangjäger,Abfangjäger
Substantiv,m,Abfangsatellit,Abfangsatelliten
Substantiv,f,Abfassung,Abfassungen
Substantiv,f,Abfasung,Abfasungen
Substantiv,f,Abfederung,Abfederungen
Substantiv,f,Abfertigung,Abfertigungen
Substantiv,f,Abfertigungsbaracke,Abfertigungsbaracken
Substantiv,f,Abfertigungsbeamtin,Abfertigungsbeamtinnen
Substantiv,n,Abfett,Abfette
Substantiv,f,Abfindung,Abfindungen
Substantiv,m,Abflug,Abflüge
Substantiv,m,Abflughafen,Abflughäfen
Substantiv,m,Abflugtag,Abflugtage
Substantiv,f,Abflugzeit,Abflugzeiten
Substantiv,m,Abfluss,Abflüsse
Substantiv,n,Abflussbecken,Abflussbecken
Substantiv,n,Abflussgebiet,Abflussgebiete
Substantiv,m,Abflussgraben,Abflussgräben
Substantiv,m,Abflusskanal,Abflusskanäle
Substantiv,f,Abflussrinne,Abflussrinnen
Substantiv,n,Abflussrohr,Abflussrohre
Substantiv,m,Abflussstampfer,Abflussstampfer
Substantiv,n,Abflussventil,Abflussventile
Substantiv,f,Abfolge,Abfolgen
Substantiv,f,Abfrage,Abfragen
Substantiv,f,Abfragesprache,Abfragesprachen
Substantiv,f,Abfuhr,Abfuhren
Substantiv,f,Abfälligkeit,Abfälligkeiten
Substantiv,n,Abführmittel,Abführmittel
Substantiv,n,Abführungszeichen,Abführungszeichen
Substantiv,f,Abfüllerangabe,Abfüllerangaben
Substantiv,n,Abfüllgewicht,Abfüllgewichte
Substantiv,f,Abgabe,Abgaben
Substantiv,f,Abgabefrist,Abgabefristen
Substantiv,f,Abgabepflicht,Abgabepflichten
Substantiv,m,Abgabepreis,Abgabepreise
Substantiv,f,Abgabestelle,Abgabestellen
Substantiv,m,Abgabetermin,Abgabetermine
Substantiv,m,Abgabezug,Abgabezüge
Substantiv,m,Abgang,Abgänge
Substantiv,n,Abgangszeugnis,Abgangszeugnisse
Substantiv,n,Abgas,Abgase
Substantiv,m,Abgasanalysator,Abgasanalysatoren
Substantiv,f,Abgasanlage,Abgasanlagen
Substantiv,f,Abgasemission,Abgasemissionen
Substantiv,f,Abgasimmission,Abgasimmissionen
Substantiv,m,Abgaskatalysator,Abgaskatalysatoren
Substantiv,f,Abgasmanipulation,Abgasmanipulationen
Substantiv,f,Abgasnorm,Abgasnormen
Substantiv,f,Abgasreinigung,Abgasreinigungen
Substantiv,m,Abgasskandal,Abgasskandale
Substantiv,n,Abgassystem,Abgassysteme
Substantiv,m,Abgastest,Abgastests
Substantiv,m,Abgeber,Abgeber
Substantiv,f,Abgefeimtheit,Abgefeimtheiten
Substantiv,f,Abgeltungssteuer,Abgeltungssteuern
Substantiv,f,Abgeltungsteuer,Abgeltungsteuern
Substantiv,f,Abgeordnetenbestechung,Abgeordnetenbestechungen
Substantiv,n,Abgeordnetenhaus,Abgeordnetenhäuser
Substantiv,m,Abgesang,Abgesänge
Substantiv,f,Abgewöhnung,Abgewöhnungen
Substantiv,m,Abglitt,Abglitte
Substantiv,m,Abgott,Abgötter
Substantiv,f,Abgottschlange,Abgottschlangen
Substantiv,f,Abgrabung,Abgrabungen
Substantiv,f,Abgrenzung,Abgrenzungen
Substantiv,f,Abgrenzungsstrategie,Abgrenzungsstrategien
Substantiv,m,Abgrenzungsversuch,Abgrenzungsversuche
Substantiv,m,Abgrund,Abgründe
Substantiv,f,Abgrusung,Abgrusungen
Substantiv,m,Abguss,Abgüsse
Substantiv,f,Abgängigkeitsanzeige,Abgängigkeitsanzeigen
Substantiv,n,Abgängsel,Abgängsel
Substantiv,f,Abgötterei,Abgöttereien
Substantiv,f,Abgöttin,Abgöttinnen
Substantiv,f,Abhandlung,Abhandlungen
Substantiv,m,Abhang,Abhänge
Substantiv,f,Abhebung,Abhebungen
Substantiv,f,Abheilung,Abheilungen
Substantiv,f,Abhilfe,Abhilfen
Substantiv,n,Abholfach,Abholfächer
Substantiv,f,Abholzung,Abholzungen
Substantiv,f,Abhängigkeit,Abhängigkeiten
Substantiv,f,Abhängigkeitsgrammatik,Abhängigkeitsgrammatiken
Substantiv,f,Abhärtung,Abhärtungen
Substantiv,f,Abhöraffäre,Abhöraffären
Substantiv,f,Abhöraktion,Abhöraktionen
Substantiv,m,Abhördienst,Abhördienste
Substantiv,f,Abhörmaßnahme,Abhörmaßnahmen
Substantiv,m,Abhörskandal,Abhörskandale
Substantiv,n,Abi,Abis
Substantiv,m,Abiball,Abibälle
Substantiv,m,Abigeat,Abigeaten
Substantiv,f,Abiotrophie,Abiotrophien
Substantiv,f,Abireise,Abireisen
Substantiv,f,Abisolierzange,Abisolierzangen
Substantiv,n,Abitreffen,Abitreffen
Substantiv,n,Abitur,Abiture
Substantiv,m,Abiturient,Abiturienten
Substantiv,f,Abiturientia,Abiturientien
Substantiv,f,Abiturientin,Abiturientinnen
Substantiv,n,Abiturium,Abiturien
Substantiv,f,Abiturprüfung,Abiturprüfungen
Substantiv,n,Abiturtreffen,Abiturtreffen
Substantiv,f,Abiturzeitung,Abiturzeitungen
Substantiv,n,Abiturzeugnis,Abiturzeugnisse
Substantiv,f,Abjudikation,Abjudikationen
Substantiv,f,Abjuration,Abjurationen
Substantiv,m,Abkehrschein,Abkehrscheine
Substantiv,m,Abklatsch,Abklatsche
Substantiv,n,Abklingbecken,Abklingbecken
Substantiv,f,Abklingzeit,Abklingzeiten
Substantiv,m,Abkomme,Abkommen
Substantiv,n,Abkommen,Abkommen
Substantiv,m,Abkömmling,Abkömmlinge
Substantiv,f,Abkühlung,Abkühlungen
Substantiv,m,Abkühlungsprozess,Abkühlungsprozesse
Substantiv,f,Abkündigung,Abkündigungen
Substantiv,f,Abkürzung,Abkürzungen
Substantiv,m,Abkürzungsfimmel,Abkürzungsfimmel
Substantiv,f,Abkürzungssprache,Abkürzungssprachen
Substantiv,n,Abkürzungsverzeichnis,Abkürzungsverzeichnisse
Substantiv,n,Abkürzungswörterbuch,Abkürzungswörterbücher
Substantiv,m,Abladeplatz,Abladeplätze
Substantiv,f,Ablage,Ablagen
Substantiv,n,Ablagebrett,Ablagebretter
Substantiv,m,Ablagekasten,Ablagekästen
Substantiv,f,Ablagerung,Ablagerungen
Substantiv,f,Ablaktation,Ablaktationen
Substantiv,m,Ablass,Ablässe
Substantiv,m,Ablassbrief,Ablassbriefe
Substantiv,f,Ablation,Ablationen
Substantiv,m,Ablativ,Ablative
Substantiv,m,Ablauf,Abläufe
Substantiv,m,Ablaufberg,Ablaufberge
Substantiv,f,Ablauforganisation,Ablauforganisationen
Substantiv,f,Ablaufzeit,Ablaufzeiten
Substantiv,m,Ablaut,Ablaute
Substantiv,f,Ablautdoppelung,Ablautdoppelungen
Substantiv,m,Ablaß,Ablässe
Substantiv,m,Ablegat,Ablegaten
Substantiv,m,Ableger,Ableger
Substantiv,f,Ablehnung,Ablehnungen
Substantiv,m,Ablehnungsbescheid,Ablehnungsbescheide
Substantiv,n,Ablehnungsgesuch,Ablehnungsgesuche
Substantiv,f,Ablehnungsquote,Ablehnungsquoten
Substantiv,m,Ableismus,Ableismen
Substantiv,f,Ableistung,Ableistungen
Substantiv,f,Ableitung,Ableitungen
Substantiv,n,Ableitungsmorphem,Ableitungsmorpheme
Substantiv,n,Ableitungssuffix,Ableitungssuffixe
Substantiv,n,Ablenkprisma,Ablenkprismen
Substantiv,f,Ablenkung,Ablenkungen
Substantiv,n,Ablenkungsmanöver,Ablenkungsmanöver
Substantiv,f,Ablenkungsmaßnahme,Ablenkungsmaßnahmen
Substantiv,m,Ablenkungsversuch,Ablenkungsversuche
Substantiv,m,Ableser,Ableser
Substantiv,f,Ableserin,Ableserinnen
Substantiv,f,Ablesung,Ablesungen
Substantiv,f,Ablichtung,Ablichtungen
Substantiv,f,Ablieferung,Ablieferungen
Substantiv,n,Ablieferungssoll,Ablieferungssoll
Substantiv,m,Ablieferungstermin,Ablieferungstermine
Substantiv,f,Ablokation,Ablokationen
Substantiv,f,Abluft,Ablüfte
Substantiv,f,Abluftanlage,Abluftanlagen
Substantiv,f,Abluftaufbereitung,Abluftaufbereitungen
Substantiv,n,Abluftgerät,Abluftgeräte
Substantiv,n,Abluftgitter,Abluftgitter
Substantiv,f,Ablufthaube,Ablufthauben
Substantiv,m,Abluftkamin,Abluftkamine
Substantiv,m,Abluftkanal,Abluftkanäle
Substantiv,f,Abluftreinigung,Abluftreinigungen
Substantiv,f,Ablution,Ablutionen
Substantiv,f,Ablöse,Ablösen
Substantiv,f,Ablösesumme,Ablösesummen
Substantiv,f,Ablösung,Ablösungen
Substantiv,f,Ablösungsmannschaft,Ablösungsmannschaften
Substantiv,f,Abmachung,Abmachungen
Substantiv,f,Abmahnung,Abmahnungen
Substantiv,f,Abmahnwelle,Abmahnwellen
Substantiv,m,Abmangel,Abmängel
Substantiv,m,Abmarsch,Abmärsche
Substantiv,f,Abmeierung,Abmeierungen
Substantiv,f,Abmeldung,Abmeldungen
Substantiv,f,Abmessung,Abmessungen
Substantiv,f,Abmilderung,Abmilderungen
Substantiv,f,Abmoderation,Abmoderationen
Substantiv,f,Abnahme,Abnahmen
Substantiv,m,Abnahmetest,Abnahmetests
Substantiv,m,Abnaki,Abnaki
Substantiv,m,Abnehmer,Abnehmer
Substantiv,f,Abnehmerin,Abnehmerinnen
Substantiv,n,Abnehmerland,Abnehmerländer
Substantiv,f,Abneigung,Abneigungen
Substantiv,f,Abnormalität,Abnormalitäten
Substantiv,f,Abnormität,Abnormitäten
Substantiv,f,Abnutzung,Abnutzungen
Substantiv,f,Abnutzungserscheinung,Abnutzungserscheinungen
Substantiv,f,Abnützung,Abnützungen
Substantiv,f,Abnützungserscheinung,Abnützungserscheinungen
Substantiv,n,Abo,Abos
Substantiv,m,Abodrite,Abodriten
Substantiv,f,Abolition,Abolitionen
Substantiv,m,Abolitionist,Abolitionisten
Substantiv,m,Abonnementpreis,Abonnementpreise
Substantiv,m,Abonnent,Abonnenten
Substantiv,f,Abonnentin,Abonnentinnen
Substantiv,f,Abordnung,Abordnungen
Substantiv,m,Aborigine,Aborigines
Substantiv,f,Aborigine,Aborigines
Substantiv,m,Abort,Aborte
Substantiv,m,Abort,Aborte
Substantiv,m,Abort,Aborts
Substantiv,m,Aborterker,Aborterker
Substantiv,f,Abortgrube,Abortgruben
Substantiv,n,Abortivum,Abortiva
Substantiv,m,Abortus,Abortus
Substantiv,m,Abpfiff,Abpfiffe
Substantiv,f,Abplattung,Abplattungen
Substantiv,m,Abpraller,Abpraller
Substantiv,n,Abprodukt,Abprodukte
Substantiv,f,Abrachie,Abrachien
Substantiv,m,Abrahamit,Abrahamiten
Substantiv,f,Abrahamitin,Abrahamitinnen
Substantiv,f,Abrasion,Abrasionen
Substantiv,f,Abrasionsplatte,Abrasionsplatten
Substantiv,m,Abrasit,Abrasite
Substantiv,f,Abreaktion,Abreaktionen
Substantiv,f,Abrechnung,Abrechnungen
Substantiv,f,Abrede,Abreden
Substantiv,m,Abrego,Abregos
Substantiv,m,Abreibebuchstabe,Abreibebuchstaben
Substantiv,f,Abreibung,Abreibungen
Substantiv,f,Abreise,Abreisen
Substantiv,m,Abreisetag,Abreisetage
Substantiv,m,Abreisetermin,Abreisetermine
Substantiv,m,Abreißkalender,Abreißkalender
Substantiv,f,Abreißleine,Abreißleinen
Substantiv,n,Abreißseil,Abreißseile
